=== DEBUG SESSION START: 2025年 11月 30日 日曜日 14:25:14     ===
Session initialized
2025-11-30 03:19:13 test-service[20251130t120901]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 95, in login      return login_route()             ^^^^^^^^^^^^^    File "/workspace/application/login.py", line 154, in login_route      return render_template('login.html', **tmpl_val)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 152, in render_template      return _render(app, template, context)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 133, in _render      rv = template.render(context)           ^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 1295, in render      self.environment.handle_exception()    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 942, in handle_exception      raise rewrite_traceback_stack(source=source)    File "/workspace/templates/login.html", line 1, in top-level template code      {% extends "applicationpagebase.html" %}      ^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 65, in get_source      return self._get_source_fast(environment, template)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 99, in _get_source_fast      raise TemplateNotFound(template)  jinja2.exceptions.TemplateNotFound: applicationpagebase.html
2025-11-30 03:19:19 test-service[20251130t120901]  "GET /test/login HTTP/1.1" 500
2025-11-30 03:19:19 test-service[20251130t120901]  [2025-11-30 03:19:19,924] ERROR in app: Exception on /test/login [GET]
2025-11-30 03:19:19 test-service[20251130t120901]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 95, in login      return login_route()             ^^^^^^^^^^^^^    File "/workspace/application/login.py", line 154, in login_route      return render_template('login.html', **tmpl_val)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 152, in render_template      return _render(app, template, context)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 133, in _render      rv = template.render(context)           ^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 1295, in render      self.environment.handle_exception()    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 942, in handle_exception      raise rewrite_traceback_stack(source=source)    File "/workspace/templates/login.html", line 1, in top-level template code      {% extends "applicationpagebase.html" %}      ^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 65, in get_source      return self._get_source_fast(environment, template)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 99, in _get_source_fast      raise TemplateNotFound(template)  jinja2.exceptions.TemplateNotFound: applicationpagebase.html
2025-11-30 03:19:24 test-service[20251130t120901]  "GET /test/login/ HTTP/1.1" 404
2025-11-30 03:19:30 test-service[20251130t120901]  "GET /test/login HTTP/1.1" 500
2025-11-30 03:19:30 test-service[20251130t120901]  [2025-11-30 03:19:30,009] ERROR in app: Exception on /test/login [GET]
2025-11-30 03:19:30 test-service[20251130t120901]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 95, in login      return login_route()             ^^^^^^^^^^^^^    File "/workspace/application/login.py", line 154, in login_route      return render_template('login.html', **tmpl_val)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 152, in render_template      return _render(app, template, context)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 133, in _render      rv = template.render(context)           ^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 1295, in render      self.environment.handle_exception()    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 942, in handle_exception      raise rewrite_traceback_stack(source=source)    File "/workspace/templates/login.html", line 1, in top-level template code      {% extends "applicationpagebase.html" %}      ^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 65, in get_source      return self._get_source_fast(environment, template)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 99, in _get_source_fast      raise TemplateNotFound(template)  jinja2.exceptions.TemplateNotFound: applicationpagebase.html
2025-11-30 03:22:57 test-service[20251130t120901]  "GET /_ah/stop HTTP/1.1" 500
2025-11-30 03:22:58 test-service[20251130t120901]  [2025-11-30 03:22:58 +0000] [10] [INFO] Handling signal: term
2025-11-30 03:22:58 test-service[20251130t120901]  [2025-11-30 03:22:58 +0000] [13] [INFO] Worker exiting (pid: 13)
2025-11-30 03:22:58 test-service[20251130t120901]  [2025-11-30 03:22:58 +0000] [10] [INFO] Shutting down: Master
2025-11-30 03:24:05 test-service[20251130t122144]  "HEAD /test/login HTTP/1.1" 500
2025-11-30 03:24:05 test-service[20251130t122144]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 03:24:05 test-service[20251130t122144]  [2025-11-30 03:24:05 +0000] [11] [INFO] Starting gunicorn 21.2.0
2025-11-30 03:24:05 test-service[20251130t122144]  [2025-11-30 03:24:05 +0000] [11] [INFO] Listening at: http://0.0.0.0:8081 (11)
2025-11-30 03:24:05 test-service[20251130t122144]  [2025-11-30 03:24:05 +0000] [11] [INFO] Using worker: sync
2025-11-30 03:24:05 test-service[20251130t122144]  [2025-11-30 03:24:05 +0000] [14] [INFO] Booting worker with pid: 14
2025-11-30 03:24:07 test-service[20251130t122144]  [2025-11-30 03:24:07,557] ERROR in app: Exception on /test/login [HEAD]
2025-11-30 03:24:07 test-service[20251130t122144]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 95, in login      return login_route()             ^^^^^^^^^^^^^    File "/workspace/application/login.py", line 154, in login_route      return render_template('login.html', **tmpl_val)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 152, in render_template      return _render(app, template, context)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 133, in _render      rv = template.render(context)           ^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 1295, in render      self.environment.handle_exception()    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 942, in handle_exception      raise rewrite_traceback_stack(source=source)    File "/workspace/templates/login.html", line 1, in top-level template code      {% extends applicationpagebase %}      ^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 65, in get_source      return self._get_source_fast(environment, template)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 99, in _get_source_fast      raise TemplateNotFound(template)  jinja2.exceptions.TemplateNotFound: ///userpagebase.html
2025-11-30 03:24:59 test-service[20251130t122144]  "HEAD /test/login?corp_name=s-style&branch_name=hon&sitename=www.s-style.ne.jp HTTP/1.1" 500
2025-11-30 03:24:59 test-service[20251130t122144]  [2025-11-30 03:24:59,342] ERROR in app: Exception on /test/login [HEAD]
2025-11-30 03:24:59 test-service[20251130t122144]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 95, in login      return login_route()             ^^^^^^^^^^^^^    File "/workspace/application/login.py", line 154, in login_route      return render_template('login.html', **tmpl_val)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 152, in render_template      return _render(app, template, context)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 133, in _render      rv = template.render(context)           ^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 1295, in render      self.environment.handle_exception()    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 942, in handle_exception      raise rewrite_traceback_stack(source=source)    File "/workspace/templates/login.html", line 1, in top-level template code      {% extends applicationpagebase %}      ^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/templates/s-style/hon/www.s-style.ne.jp/userpagebase.html", line 34, in top-level template code      <h1>{{data.value1}}{{data.value2}}|名古屋市千種区を中心に、マンション・土地・新築・中古一戸建など<br>      ^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 490, in getattr      return getattr(obj, attribute)             ^^^^^^^^^^^^^^^^^^^^^^^  jinja2.exceptions.UndefinedError: 'data' is undefined
2025-11-30 03:30:00 test-service[20251130t122144]  "GET /test/login HTTP/1.1" 500
2025-11-30 03:30:00 test-service[20251130t122144]  [2025-11-30 03:30:00,023] ERROR in app: Exception on /test/login [GET]
2025-11-30 03:30:00 test-service[20251130t122144]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 95, in login      return login_route()             ^^^^^^^^^^^^^    File "/workspace/application/login.py", line 154, in login_route      return render_template('login.html', **tmpl_val)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 152, in render_template      return _render(app, template, context)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 133, in _render      rv = template.render(context)           ^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 1295, in render      self.environment.handle_exception()    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/jinja2/environment.py", line 942, in handle_exception      raise rewrite_traceback_stack(source=source)    File "/workspace/templates/login.html", line 1, in top-level template code      {% extends applicationpagebase %}      ^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 65, in get_source      return self._get_source_fast(environment, template)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/templating.py", line 99, in _get_source_fast      raise TemplateNotFound(template)  jinja2.exceptions.TemplateNotFound: ///userpagebase.html
2025-11-30 03:31:00 test-service[20251130t122144]  "GET /test/login?corp_name=s-style&branch_name=hon&sitename=backoffice&togo=/test/follow/s-style/hon/backoffice/follow.html&userpagebase=userpagebase.html HTTP/1.1" 200
2025-11-30 03:31:36 test-service[20251130t122144]  "POST /test/login?corp_name=s-style&branch_name=hon&sitename=backoffice&togo=/test/follow/s-style/hon/backoffice/follow.html&userpagebase=userpagebase.html HTTP/1.1" 200
2025-11-30 03:36:37 test-service[20251130t122144]  "GET /_ah/stop HTTP/1.1" 404
2025-11-30 03:36:37 test-service[20251130t122144]  [2025-11-30 03:36:37 +0000] [11] [INFO] Handling signal: term
2025-11-30 03:36:37 test-service[20251130t122144]  [2025-11-30 03:36:37 +0000] [14] [INFO] Worker exiting (pid: 14)
2025-11-30 03:36:37 test-service[20251130t122144]  [2025-11-30 03:36:37 +0000] [11] [INFO] Shutting down: Master
2025-11-30 03:45:28 test-service[20251130t122144]  "POST /test/login?corp_name=s-style&branch_name=hon&sitename=backoffice&togo=/test/follow/s-style/hon/backoffice/follow.html&userpagebase=userpagebase.html HTTP/1.1" 200
2025-11-30 03:45:28 test-service[20251130t122144]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 03:45:28 test-service[20251130t122144]  [2025-11-30 03:45:28 +0000] [10] [INFO] Starting gunicorn 21.2.0
2025-11-30 03:45:28 test-service[20251130t122144]  [2025-11-30 03:45:28 +0000] [10] [INFO] Listening at: http://0.0.0.0:8081 (10)
2025-11-30 03:45:28 test-service[20251130t122144]  [2025-11-30 03:45:28 +0000] [10] [INFO] Using worker: sync
2025-11-30 03:45:28 test-service[20251130t122144]  [2025-11-30 03:45:28 +0000] [14] [INFO] Booting worker with pid: 14
2025-11-30 03:50:30 test-service[20251130t122144]  "GET /_ah/stop HTTP/1.1" 404
2025-11-30 03:50:30 test-service[20251130t122144]  [2025-11-30 03:50:30 +0000] [10] [INFO] Handling signal: term
2025-11-30 03:50:30 test-service[20251130t122144]  [2025-11-30 03:50:30 +0000] [14] [INFO] Worker exiting (pid: 14)
2025-11-30 03:50:30 test-service[20251130t122144]  [2025-11-30 03:50:30 +0000] [10] [INFO] Shutting down: Master
2025-11-30 04:07:56 test-service[20251130t124932]  "POST /test/login?corp_name=s-style&branch_name=hon&sitename=backoffice&togo=/test/follow/s-style/hon/backoffice/follow.html&userpagebase=userpagebase.html HTTP/1.1" 200
2025-11-30 04:07:56 test-service[20251130t124932]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 04:07:57 test-service[20251130t124932]  [2025-11-30 04:07:57 +0000] [11] [INFO] Starting gunicorn 21.2.0
2025-11-30 04:07:57 test-service[20251130t124932]  [2025-11-30 04:07:57 +0000] [11] [INFO] Listening at: http://0.0.0.0:8081 (11)
2025-11-30 04:07:57 test-service[20251130t124932]  [2025-11-30 04:07:57 +0000] [11] [INFO] Using worker: sync
2025-11-30 04:07:57 test-service[20251130t124932]  [2025-11-30 04:07:57 +0000] [15] [INFO] Booting worker with pid: 15
2025-11-30 04:09:00 test-service[20251130t124932]  "POST /test/login?corp_name=s-style&branch_name=hon&sitename=backoffice&togo=/test/follow/s-style/hon/backoffice/follow.html&userpagebase=userpagebase.html HTTP/1.1" 500
2025-11-30 04:09:00 test-service[20251130t124932]  [2025-11-30 04:09:00,518] ERROR in app: Exception on /test/login [POST]
2025-11-30 04:09:00 test-service[20251130t124932]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 95, in login      return login_route()             ^^^^^^^^^^^^^    File "/workspace/application/login.py", line 116, in login_route      ssn = dbsession(request, None, ssn_key, user.sid)            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^  TypeError: dbsession.__init__() takes from 1 to 4 positional arguments but 5 were given
2025-11-30 04:14:01 test-service[20251130t124932]  "GET /_ah/stop HTTP/1.1" 404
2025-11-30 04:14:01 test-service[20251130t124932]  [2025-11-30 04:14:01 +0000] [11] [INFO] Handling signal: term
2025-11-30 04:14:01 test-service[20251130t124932]  [2025-11-30 04:14:01 +0000] [15] [INFO] Worker exiting (pid: 15)
2025-11-30 04:14:02 test-service[20251130t124932]  [2025-11-30 04:14:02 +0000] [11] [INFO] Shutting down: Master
2025-11-30 04:14:16 test-service[20251130t124932]  "POST /test/login?corp_name=s-style&branch_name=hon&sitename=backoffice&togo=/test/follow/s-style/hon/backoffice/follow.html&userpagebase=userpagebase.html HTTP/1.1" 500
2025-11-30 04:14:16 test-service[20251130t124932]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 04:14:17 test-service[20251130t124932]  [2025-11-30 04:14:17 +0000] [12] [INFO] Starting gunicorn 21.2.0
2025-11-30 04:14:17 test-service[20251130t124932]  [2025-11-30 04:14:17 +0000] [12] [INFO] Listening at: http://0.0.0.0:8081 (12)
2025-11-30 04:14:17 test-service[20251130t124932]  [2025-11-30 04:14:17 +0000] [12] [INFO] Using worker: sync
2025-11-30 04:14:17 test-service[20251130t124932]  [2025-11-30 04:14:17 +0000] [16] [INFO] Booting worker with pid: 16
2025-11-30 04:14:18 test-service[20251130t124932]  [2025-11-30 04:14:18,453] ERROR in app: Exception on /test/login [POST]
2025-11-30 04:14:18 test-service[20251130t124932]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 95, in login      return login_route()             ^^^^^^^^^^^^^    File "/workspace/application/login.py", line 116, in login_route      ssn = dbsession(request, None, ssn_key, user.sid)            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^  TypeError: dbsession.__init__() takes from 1 to 4 positional arguments but 5 were given
2025-11-30 04:19:19 test-service[20251130t124932]  "GET /_ah/stop HTTP/1.1" 404
2025-11-30 04:19:19 test-service[20251130t124932]  [2025-11-30 04:19:19 +0000] [12] [INFO] Handling signal: term
2025-11-30 04:19:19 test-service[20251130t124932]  [2025-11-30 04:19:19 +0000] [16] [INFO] Worker exiting (pid: 16)
2025-11-30 04:19:20 test-service[20251130t124932]  [2025-11-30 04:19:20 +0000] [12] [INFO] Shutting down: Master
2025-11-30 04:25:51 test-service[20251130t132149]  "GET /test/login?corp_name=s-style&branch_name=hon&sitename=backoffice&togo=/test/follow/s-style/hon/backoffice/follow.html&userpagebase=userpagebase.html HTTP/1.1" 200
2025-11-30 04:25:51 test-service[20251130t132149]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 04:25:52 test-service[20251130t132149]  [2025-11-30 04:25:52 +0000] [11] [INFO] Starting gunicorn 21.2.0
2025-11-30 04:25:52 test-service[20251130t132149]  [2025-11-30 04:25:52 +0000] [11] [INFO] Listening at: http://0.0.0.0:8081 (11)
2025-11-30 04:25:52 test-service[20251130t132149]  [2025-11-30 04:25:52 +0000] [11] [INFO] Using worker: sync
2025-11-30 04:25:52 test-service[20251130t132149]  [2025-11-30 04:25:52 +0000] [14] [INFO] Booting worker with pid: 14
2025-11-30 04:26:24 test-service[20251130t132149]  "POST /test/login?corp_name=s-style&branch_name=hon&sitename=backoffice&togo=/test/follow/s-style/hon/backoffice/follow.html&userpagebase=userpagebase.html HTTP/1.1" 200
2025-11-30 04:26:31 test-service[20251130t132149]  "GET /test/follow/s-style/hon/backoffice/follow.html HTTP/1.1" 404
2025-11-30 04:31:31 test-service[20251130t132149]  "GET /_ah/stop HTTP/1.1" 404
2025-11-30 04:31:31 test-service[20251130t132149]  [2025-11-30 04:31:31 +0000] [11] [INFO] Handling signal: term
2025-11-30 04:31:31 test-service[20251130t132149]  [2025-11-30 04:31:31 +0000] [14] [INFO] Worker exiting (pid: 14)
2025-11-30 04:31:31 test-service[20251130t132149]  [2025-11-30 04:31:31 +0000] [11] [INFO] Shutting down: Master
2025-11-30 04:32:07 test-service[20251130t133025]  "GET /test/follow/s-style/hon/backoffice/follow.html HTTP/1.1" 500
2025-11-30 04:32:07 test-service[20251130t133025]  "GET /_ah/start HTTP/1.1" 404
2025-11-30 04:32:08 test-service[20251130t133025]  [2025-11-30 04:32:08 +0000] [11] [INFO] Starting gunicorn 21.2.0
2025-11-30 04:32:08 test-service[20251130t133025]  [2025-11-30 04:32:08 +0000] [11] [INFO] Listening at: http://0.0.0.0:8081 (11)
2025-11-30 04:32:08 test-service[20251130t133025]  [2025-11-30 04:32:08 +0000] [11] [INFO] Using worker: sync
2025-11-30 04:32:08 test-service[20251130t133025]  [2025-11-30 04:32:08 +0000] [14] [INFO] Booting worker with pid: 14
2025-11-30 04:32:10 test-service[20251130t133025]  [2025-11-30 04:32:10,051] ERROR in app: Exception on /test/follow/s-style/hon/backoffice/follow.html [GET]
2025-11-30 04:32:10 test-service[20251130t133025]  Traceback (most recent call last):    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 1455, in wsgi_app      response = self.full_dispatch_request()                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 869, in full_dispatch_request      rv = self.handle_user_exception(e)           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 867, in full_dispatch_request      rv = self.dispatch_request()           ^^^^^^^^^^^^^^^^^^^^^^^    File "/layers/google.python.pip/pip/lib/python3.11/site-packages/flask/app.py", line 852, in dispatch_request      return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    File "/workspace/main.py", line 186, in follow      return follow_route()             ^^^^^^^^^^^^^^    File "/workspace/application/follow.py", line 35, in follow_route      return handler.get()             ^^^^^^^^^^^^^    File "/workspace/application/follow.py", line 14, in get      if self.memberID == "" or not self.memberID:         ^^^^^^^^^^^^^  AttributeError: 'FollowHandler' object has no attribute 'memberID'
2025-11-30 04:36:48 test-service[20251130t133025]  "GET /_ah/stop HTTP/1.1" 500
